#RawFactor(z),ParFactor(c),dz/dc
YoYInflationCurve/EUHICPXT/10,DiscountCurve/EUR/0,0.000000019116
YoYInflationCurve/EUHICPXT/11,DiscountCurve/EUR/0,0.000000018110
DiscountCurve/EUR/0,DiscountCurve/EUR/1,-1.144387676394
DiscountCurve/EUR/1,DiscountCurve/EUR/1,0.927348448075
DiscountCurve/EUR/2,DiscountCurve/EUR/1,-0.050861096092
DiscountCurve/EUR/3,DiscountCurve/EUR/1,-0.025150800644
DiscountCurve/EUR/4,DiscountCurve/EUR/1,-0.016705816485
DiscountCurve/EUR/5,DiscountCurve/EUR/1,-0.012506342210
DiscountCurve/EUR/6,DiscountCurve/EUR/1,-0.006262024413
DiscountCurve/EUR/7,DiscountCurve/EUR/1,-0.004176785971
DiscountCurve/EUR/8,DiscountCurve/EUR/1,-0.003133458093
DiscountCurve/EUR/9,DiscountCurve/EUR/1,-0.002505867050
DiscountCurve/EUR/10,DiscountCurve/EUR/1,-0.001790557618
DiscountCurve/EUR/11,DiscountCurve/EUR/1,-0.001253470974
DiscountCurve/EUR/12,DiscountCurve/EUR/1,-0.000835851088
DiscountCurve/EUR/13,DiscountCurve/EUR/1,-0.000627069980
DiscountCurve/EUR/14,DiscountCurve/EUR/1,-0.000501734840
DiscountCurve/EUR/15,DiscountCurve/EUR/1,-0.000418232325
DiscountCurve/USD/0,DiscountCurve/EUR/1,-1.144383286960
DiscountCurve/USD/1,DiscountCurve/EUR/1,0.927341194114
DiscountCurve/USD/2,DiscountCurve/EUR/1,-0.050859841998
DiscountCurve/USD/3,DiscountCurve/EUR/1,-0.025149546581
DiscountCurve/USD/4,DiscountCurve/EUR/1,-0.016704533670
DiscountCurve/USD/5,DiscountCurve/EUR/1,-0.012508203001
DiscountCurve/USD/6,DiscountCurve/EUR/1,-0.006263112221
DiscountCurve/USD/7,DiscountCurve/EUR/1,-0.004177443396
DiscountCurve/USD/8,DiscountCurve/EUR/1,-0.003134120438
DiscountCurve/USD/9,DiscountCurve/EUR/1,-0.002506564665
DiscountCurve/USD/10,DiscountCurve/EUR/1,-0.001791101715
DiscountCurve/USD/11,DiscountCurve/EUR/1,-0.001253817266
DiscountCurve/USD/12,DiscountCurve/EUR/1,-0.000836004647
DiscountCurve/USD/13,DiscountCurve/EUR/1,-0.000627075775
DiscountCurve/USD/14,DiscountCurve/EUR/1,-0.000501676377
DiscountCurve/USD/15,DiscountCurve/EUR/1,-0.000418151910
IndexCurve/EUR-EONIA/0,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EONIA/1,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EONIA/2,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EONIA/3,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EONIA/4,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EONIA/5,DiscountCurve/EUR/1,-0.000000000002
IndexCurve/EUR-EONIA/6,DiscountCurve/EUR/1,0.000000000098
IndexCurve/EUR-EONIA/7,DiscountCurve/EUR/1,-0.000000000102
