#ParFactor,RawFactor,ParSensitivity
DiscountCurve/USD/8,IndexCurve/USD-LIBOR-3M/4,-0.000107180642
DiscountCurve/USD/8,IndexCurve/USD-LIBOR-3M/5,-0.000305146834
DiscountCurve/USD/8,IndexCurve/USD-LIBOR-3M/6,-0.001734429083
DiscountCurve/USD/8,IndexCurve/USD-LIBOR-3M/7,-0.001204010052
DiscountCurve/USD/8,IndexCurve/USD-LIBOR-3M/8,0.973808954649
DiscountCurve/USD/8,IndexCurve/USD-LIBOR-3M/9,0.016870916270
DiscountCurve/USD/9,DiscountCurve/EUR/0,-0.002195495040
DiscountCurve/USD/9,DiscountCurve/EUR/2,-0.000057772715
DiscountCurve/USD/9,DiscountCurve/EUR/3,-0.000176602313
DiscountCurve/USD/9,DiscountCurve/EUR/4,-0.000229063931
DiscountCurve/USD/9,DiscountCurve/EUR/5,-0.000273004388
DiscountCurve/USD/9,DiscountCurve/EUR/6,-0.000904464027
DiscountCurve/USD/9,DiscountCurve/EUR/7,-0.000580383191
DiscountCurve/USD/9,DiscountCurve/EUR/8,0.000364153089
DiscountCurve/USD/9,DiscountCurve/EUR/9,0.982320581255
DiscountCurve/USD/9,DiscountCurve/EUR/10,0.007571917292
DiscountCurve/USD/9,DiscountCurve/USD/0,0.002195267540
DiscountCurve/USD/9,DiscountCurve/USD/2,0.000011943621
DiscountCurve/USD/9,DiscountCurve/USD/3,0.000088948915
DiscountCurve/USD/9,DiscountCurve/USD/4,0.000105684795
DiscountCurve/USD/9,DiscountCurve/USD/5,0.000265690131
DiscountCurve/USD/9,DiscountCurve/USD/6,0.001420771465
DiscountCurve/USD/9,DiscountCurve/USD/7,0.001049558281
DiscountCurve/USD/9,DiscountCurve/USD/8,0.000319844684
DiscountCurve/USD/9,DiscountCurve/USD/9,-0.982199140538
DiscountCurve/USD/9,DiscountCurve/USD/10,-0.007570673595
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/0,0.002145395643
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/2,0.000015101250
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/3,0.000084290644
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/4,0.000113954584
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/5,0.000466156026
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/6,0.001270595933
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/7,0.001046728025
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/8,-0.000002464484
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/9,-0.984106826680
DiscountCurve/USD/9,IndexCurve/EUR-EURIBOR-3M/10,-0.007584604965
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/0,-0.002143841374
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/2,-0.000009766935
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/3,-0.000080428835
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/4,-0.000086359184
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/5,-0.000243208179
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/6,-0.001382590682
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/7,-0.000964360853
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/8,-0.000168221111
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/9,0.982318210973
DiscountCurve/USD/9,IndexCurve/USD-LIBOR-3M/10,0.007570702656
DiscountCurve/USD/10,DiscountCurve/EUR/0,-0.001589345414
DiscountCurve/USD/10,DiscountCurve/EUR/2,-0.000042882064
DiscountCurve/USD/10,DiscountCurve/EUR/3,-0.000129702061
DiscountCurve/USD/10,DiscountCurve/EUR/4,-0.000168935288
DiscountCurve/USD/10,DiscountCurve/EUR/5,-0.000212079500
DiscountCurve/USD/10,DiscountCurve/EUR/6,-0.000700619856
DiscountCurve/USD/10,DiscountCurve/EUR/7,-0.000495561430
DiscountCurve/USD/10,DiscountCurve/EUR/8,0.000153334713
DiscountCurve/USD/10,DiscountCurve/EUR/9,0.004926788557
DiscountCurve/USD/10,DiscountCurve/EUR/10,0.979500296079
DiscountCurve/USD/10,DiscountCurve/EUR/11,0.005096631998
DiscountCurve/USD/10,DiscountCurve/USD/0,0.001589182603
DiscountCurve/USD/10,DiscountCurve/USD/2,0.000008546484
DiscountCurve/USD/10,DiscountCurve/USD/3,0.000063649082
DiscountCurve/USD/10,DiscountCurve/USD/4,0.000075624758
DiscountCurve/USD/10,DiscountCurve/USD/5,0.000190119609
DiscountCurve/USD/10,DiscountCurve/USD/6,0.001016659950
DiscountCurve/USD/10,DiscountCurve/USD/7,0.000751031320
DiscountCurve/USD/10,DiscountCurve/USD/8,0.000228870926
DiscountCurve/USD/10,DiscountCurve/USD/9,-0.004552741354
