#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/7/3Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/8/4Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/9/5Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/10/7Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/11/10Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/12/15Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/13/20Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/14/25Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:DiscountCurve/EUR/15/30Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/0/2W,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/1/1M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/2/3M,Cross,-2768437.58,0.000100,0.000100,-2768439.18,-1.60
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/3/6M,Cross,-2768437.58,0.000100,0.000100,-2768566.39,-128.80
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768376.11,61.47
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2767490.44,947.14
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/6/2Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/7/3Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/8/4Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/9/5Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/10/7Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/11/10Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/12/15Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/13/20Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/14/25Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EONIA/15/30Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/0/2W,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/1/1M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/2/3M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/3/6M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/6/2Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/7/3Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/8/4Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/9/5Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/10/7Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/11/10Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/12/15Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/13/20Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/14/25Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-1M/15/30Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/0/2W,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/1/1M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/2/3M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/3/6M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/6/2Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/7/3Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/8/4Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/9/5Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/10/7Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/11/10Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/12/15Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/13/20Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/14/25Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-3M/15/30Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/0/2W,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/1/1M,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/2/3M,Cross,-2768437.58,0.000100,0.000100,-2768423.30,14.28
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/3/6M,Cross,-2768437.58,0.000100,0.000100,-2767945.73,491.86
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768459.44,-21.85
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2769418.00,-980.42
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/6/2Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/7/3Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/8/4Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/9/5Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/10/7Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/11/10Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/12/15Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/13/20Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/14/25Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/2/3M:IndexCurve/EUR-EURIBOR-6M/15/30Y,Cross,-2768437.58,0.000100,0.000100,-2768434.53,3.05
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768304.55,133.04
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2768300.61,136.97
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/6/2Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/7/3Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/8/4Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/9/5Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/10/7Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/11/10Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/12/15Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/13/20Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/14/25Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:DiscountCurve/EUR/15/30Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/0/2W,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/1/1M,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/2/3M,Cross,-2768437.58,0.000100,0.000100,-2768309.30,128.28
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/3/6M,Cross,-2768437.58,0.000100,0.000100,-2768436.52,1.06
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768246.24,191.35
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2767360.56,1077.02
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/6/2Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/7/3Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/8/4Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/9/5Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/10/7Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/11/10Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/12/15Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/13/20Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/14/25Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EONIA/15/30Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-1M/0/2W,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-1M/1/1M,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-1M/2/3M,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-1M/3/6M,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-1M/4/9M,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-1M/5/1Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-1M/6/2Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-1M/7/3Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
EqSwap_STOXX_decomp,DiscountCurve/EUR/3/6M:IndexCurve/EUR-EURIBOR-1M/8/4Y,Cross,-2768437.58,0.000100,0.000100,-2768304.65,132.93
