#Scenario,Key,Factor,BaseValue,ShiftSize
parallel_rates,IndexCurve/EUR-EURIBOR-6M/0,IndexCurve/EUR-EURIBOR-6M/0/2W,0.01024940,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/1,IndexCurve/EUR-EURIBOR-6M/1/1M,0.01024940,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/2,IndexCurve/EUR-EURIBOR-6M/2/3M,0.01024940,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/3,IndexCurve/EUR-EURIBOR-6M/3/6M,0.01024940,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/4,IndexCurve/EUR-EURIBOR-6M/4/9M,0.00994380,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/5,IndexCurve/EUR-EURIBOR-6M/5/1Y,0.00978143,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/6,IndexCurve/EUR-EURIBOR-6M/6/2Y,0.00953997,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/7,IndexCurve/EUR-EURIBOR-6M/7/3Y,0.00984152,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/8,IndexCurve/EUR-EURIBOR-6M/8/4Y,0.01061740,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/9,IndexCurve/EUR-EURIBOR-6M/9/5Y,0.01150470,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/10,IndexCurve/EUR-EURIBOR-6M/10/7Y,0.01367027,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/11,IndexCurve/EUR-EURIBOR-6M/11/10Y,0.01696965,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/12,IndexCurve/EUR-EURIBOR-6M/12/15Y,0.02009624,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/13,IndexCurve/EUR-EURIBOR-6M/13/20Y,0.02144750,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/14,IndexCurve/EUR-EURIBOR-6M/14/25Y,0.02179609,0.00010000
parallel_rates,IndexCurve/EUR-EURIBOR-6M/15,IndexCurve/EUR-EURIBOR-6M/15/30Y,0.02169083,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/0,IndexCurve/GBP-LIBOR-3M/0/2W,0.01594868,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/1,IndexCurve/GBP-LIBOR-3M/1/1M,0.01593060,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/2,IndexCurve/GBP-LIBOR-3M/2/3M,0.01671344,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/3,IndexCurve/GBP-LIBOR-3M/3/6M,0.01721968,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/4,IndexCurve/GBP-LIBOR-3M/4/9M,0.01738596,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/5,IndexCurve/GBP-LIBOR-3M/5/1Y,0.01746865,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/6,IndexCurve/GBP-LIBOR-3M/6/2Y,0.01714543,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/7,IndexCurve/GBP-LIBOR-3M/7/3Y,0.01760734,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/8,IndexCurve/GBP-LIBOR-3M/8/4Y,0.01818656,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/9,IndexCurve/GBP-LIBOR-3M/9/5Y,0.01911584,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/10,IndexCurve/GBP-LIBOR-3M/10/7Y,0.02092791,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/11,IndexCurve/GBP-LIBOR-3M/11/10Y,0.02370110,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/12,IndexCurve/GBP-LIBOR-3M/12/15Y,0.02586324,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/13,IndexCurve/GBP-LIBOR-3M/13/20Y,0.02684198,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/14,IndexCurve/GBP-LIBOR-3M/14/25Y,0.02681569,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-3M/15,IndexCurve/GBP-LIBOR-3M/15/30Y,0.02679817,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/0,IndexCurve/GBP-LIBOR-6M/0/2W,0.01594868,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/1,IndexCurve/GBP-LIBOR-6M/1/1M,0.01593060,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/2,IndexCurve/GBP-LIBOR-6M/2/3M,0.01671344,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/3,IndexCurve/GBP-LIBOR-6M/3/6M,0.01892611,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/4,IndexCurve/GBP-LIBOR-6M/4/9M,0.01779806,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/5,IndexCurve/GBP-LIBOR-6M/5/1Y,0.01854241,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/6,IndexCurve/GBP-LIBOR-6M/6/2Y,0.01824794,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/7,IndexCurve/GBP-LIBOR-6M/7/3Y,0.01866852,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/8,IndexCurve/GBP-LIBOR-6M/8/4Y,0.01930850,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/9,IndexCurve/GBP-LIBOR-6M/9/5Y,0.02001204,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/10,IndexCurve/GBP-LIBOR-6M/10/7Y,0.02198267,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/11,IndexCurve/GBP-LIBOR-6M/11/10Y,0.02458119,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/12,IndexCurve/GBP-LIBOR-6M/12/15Y,0.02653995,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/13,IndexCurve/GBP-LIBOR-6M/13/20Y,0.02718722,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/14,IndexCurve/GBP-LIBOR-6M/14/25Y,0.02692207,0.00010000
parallel_rates,IndexCurve/GBP-LIBOR-6M/15,IndexCurve/GBP-LIBOR-6M/15/30Y,0.02698584,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/0,IndexCurve/GBP-SONIA/0/2W,0.00567538,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/1,IndexCurve/GBP-SONIA/1/1M,0.00572464,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/2,IndexCurve/GBP-SONIA/2/3M,0.00565905,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/3,IndexCurve/GBP-SONIA/3/6M,0.00544361,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/4,IndexCurve/GBP-SONIA/4/9M,0.00523385,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/5,IndexCurve/GBP-SONIA/5/1Y,0.00492187,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/6,IndexCurve/GBP-SONIA/6/2Y,0.00465552,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/7,IndexCurve/GBP-SONIA/7/3Y,0.00497075,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/8,IndexCurve/GBP-SONIA/8/4Y,0.00540081,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/9,IndexCurve/GBP-SONIA/9/5Y,0.00617452,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/10,IndexCurve/GBP-SONIA/10/7Y,0.00803605,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/11,IndexCurve/GBP-SONIA/11/10Y,0.01065155,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/12,IndexCurve/GBP-SONIA/12/15Y,0.01337141,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/13,IndexCurve/GBP-SONIA/13/20Y,0.01428799,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/14,IndexCurve/GBP-SONIA/14/25Y,0.01462375,0.00010000
parallel_rates,IndexCurve/GBP-SONIA/15,IndexCurve/GBP-SONIA/15/30Y,0.01463873,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/0,IndexCurve/USD-FedFunds/0/2W,0.00452404,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/1,IndexCurve/USD-FedFunds/1/1M,0.00452149,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/2,IndexCurve/USD-FedFunds/2/3M,0.00488930,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/3,IndexCurve/USD-FedFunds/3/6M,0.00527728,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/4,IndexCurve/USD-FedFunds/4/9M,0.00551406,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/5,IndexCurve/USD-FedFunds/5/1Y,0.00565871,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/6,IndexCurve/USD-FedFunds/6/2Y,0.00647964,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/7,IndexCurve/USD-FedFunds/7/3Y,0.00716360,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/8,IndexCurve/USD-FedFunds/8/4Y,0.00834192,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/9,IndexCurve/USD-FedFunds/9/5Y,0.00937218,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/10,IndexCurve/USD-FedFunds/10/7Y,0.01119194,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/11,IndexCurve/USD-FedFunds/11/10Y,0.01358078,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/12,IndexCurve/USD-FedFunds/12/15Y,0.01649948,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/13,IndexCurve/USD-FedFunds/13/20Y,0.01793585,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/14,IndexCurve/USD-FedFunds/14/25Y,0.01870361,0.00010000
parallel_rates,IndexCurve/USD-FedFunds/15,IndexCurve/USD-FedFunds/15/30Y,0.01898449,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/0,IndexCurve/USD-LIBOR-3M/0/2W,0.01634761,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/1,IndexCurve/USD-LIBOR-3M/1/1M,0.01721672,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/2,IndexCurve/USD-LIBOR-3M/2/3M,0.01811272,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/3,IndexCurve/USD-LIBOR-3M/3/6M,0.01809933,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/4,IndexCurve/USD-LIBOR-3M/4/9M,0.01829092,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/5,IndexCurve/USD-LIBOR-3M/5/1Y,0.01852760,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/6,IndexCurve/USD-LIBOR-3M/6/2Y,0.01921693,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/7,IndexCurve/USD-LIBOR-3M/7/3Y,0.02019493,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/8,IndexCurve/USD-LIBOR-3M/8/4Y,0.02126676,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/9,IndexCurve/USD-LIBOR-3M/9/5Y,0.02237271,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/10,IndexCurve/USD-LIBOR-3M/10/7Y,0.02436923,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/11,IndexCurve/USD-LIBOR-3M/11/10Y,0.02691046,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/12,IndexCurve/USD-LIBOR-3M/12/15Y,0.02959010,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/13,IndexCurve/USD-LIBOR-3M/13/20Y,0.03105603,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/14,IndexCurve/USD-LIBOR-3M/14/25Y,0.03173138,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-3M/15,IndexCurve/USD-LIBOR-3M/15/30Y,0.03222714,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/0,IndexCurve/USD-LIBOR-6M/0/2W,0.01634761,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/1,IndexCurve/USD-LIBOR-6M/1/1M,0.01721672,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/2,IndexCurve/USD-LIBOR-6M/2/3M,0.01811272,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/3,IndexCurve/USD-LIBOR-6M/3/6M,0.01809101,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/4,IndexCurve/USD-LIBOR-6M/4/9M,0.01862242,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/5,IndexCurve/USD-LIBOR-6M/5/1Y,0.01890329,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/6,IndexCurve/USD-LIBOR-6M/6/2Y,0.01770981,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/7,IndexCurve/USD-LIBOR-6M/7/3Y,0.01883154,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/8,IndexCurve/USD-LIBOR-6M/8/4Y,0.01996703,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/9,IndexCurve/USD-LIBOR-6M/9/5Y,0.02114338,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/10,IndexCurve/USD-LIBOR-6M/10/7Y,0.02327248,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/11,IndexCurve/USD-LIBOR-6M/11/10Y,0.02566421,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/12,IndexCurve/USD-LIBOR-6M/12/15Y,0.02839168,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/13,IndexCurve/USD-LIBOR-6M/13/20Y,0.02980323,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/14,IndexCurve/USD-LIBOR-6M/14/25Y,0.03051213,0.00010000
parallel_rates,IndexCurve/USD-LIBOR-6M/15,IndexCurve/USD-LIBOR-6M/15/30Y,0.03104213,0.00010000
parallel_rates,SwaptionVolatility/EUR/0,SwaptionVolatility/EUR/0/1Y/1Y/ATM,0.00000000,0.00000000
