#Scenario,NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
eonia_up,CPTY_A,2019-08-05,3.496152,1310002.75,15221264.00,8777929.91,0.00,1507175.57,1507175.57,386310.74,401067.61
eonia_up,CPTY_A,2019-11-05,3.748207,1408649.38,15706891.00,16610093.05,0.00,1637123.47,1637123.47,470423.84,484188.36
eonia_up,CPTY_A,2020-02-05,4.000000,1828773.88,15391419.00,11700830.20,0.00,2146967.28,2146967.28,575959.23,588857.30
eonia_up,CPTY_A,2020-05-05,4.245902,1956735.63,15314238.00,14687330.59,0.00,2320005.68,2320005.68,676965.78,689116.86
eonia_up,CPTY_A,2020-08-05,4.497268,2490690.00,14992232.00,17064384.85,0.00,2983069.69,2983069.69,805861.02,817332.94
eonia_up,CPTY_A,2020-11-05,4.748634,2148259.00,15076649.00,12223308.61,0.00,2599065.47,2983069.69,900783.24,931974.93
eonia_up,CPTY_A,2021-02-05,5.000262,2074932.00,14523815.00,11385565.08,0.00,2535836.85,2983069.69,983064.02,1035192.14
eonia_up,CPTY_A,2021-05-05,5.244098,2297508.75,14614416.00,17764007.75,0.00,2835426.44,2983069.69,1069193.60,1125762.91
eonia_up,CPTY_A,2021-08-05,5.496152,2583626.00,14226323.00,16010998.82,0.00,3220903.32,3220903.32,1167871.49,1221846.52
eonia_up,CPTY_A,2021-11-05,5.748207,3085178.00,14646015.00,19543032.28,0.00,3885215.67,3885215.67,1287025.10,1338633.36
eonia_up,CPTY_A,2022-02-07,6.005741,3499184.75,14343949.00,20817828.10,0.00,4452295.61,4452295.61,1422756.14,1472151.37
eonia_up,CPTY_A,2022-05-05,6.244098,3405280.00,14090799.00,17799579.61,0.00,4374398.54,4452295.61,1535429.30,1585912.53
eonia_up,CPTY_A,2022-08-05,6.496152,3955096.00,13811814.00,23396036.01,0.00,5132269.05,5132269.05,1674988.94,1723513.39
eonia_up,CPTY_A,2022-11-07,6.753687,3865235.50,13904711.00,19708670.77,0.00,5067695.92,5132269.05,1804360.98,1853497.41
eonia_up,CPTY_A,2023-02-06,7.003002,4063956.25,13710418.00,18107565.35,0.00,5381740.71,5381740.71,1931719.89,1979107.00
